fecha;DEM;WD;TEMP;TMAX229;TMAX230;TMAX237;TMAX417
23/08/2007;672.296562;4;20.925;31.5;26.2;27;25.6
24/08/2007;671.261839;5;21.625;33.5;25.8;25.1;25.4
25/08/2007;612.705708;6;24.575;22.8;27.5;25;26.2
26/08/2007;564.169848;7;26.875;31;32.6;30.4;25.5
27/08/2007;718.782934;1;27.575;35.5;35;31.6;25.4
28/08/2007;760.45509;2;27.275;34.5;34;33;25.6
29/08/2007;761.006784;3;25.75;29.4;28.4;39;27.1
30/08/2007;740.450695;4;22.5;31.8;26.5;28.4;26.1
31/08/2007;728.041301;5;21.45;32.5;26.3;27;25.8
01/09/2007;647.963799;6;22.525;34;29.6;28.6;25.4
02/09/2007;588.340125;7;23.45;34.8;30.7;28.8;25.5
03/09/2007;746.831436;1;24.625;35.2;31.7;28;25.3
04/09/2007;769.915261;2;23.425;35.1;29.4;27;25.3
05/09/2007;765.586464;3;22.675;37;29.4;26.6;26.9
06/09/2007;768.571339;4;22.375;36.2;29.6;27.1;24.9
07/09/2007;762.250776;5;23.925;34.2;31;27.8;25
08/09/2007;649.624535;6;23.475;33;30;27.4;25.4
09/09/2007;581.709648;7;23.425;27.3;30.2;27.8;25.8
10/09/2007;716.559599;1;24.025;32.4;28.1;27.8;25.9
11/09/2007;716.151964;2;23.425;32.4;29.4;28.4;25.7
12/09/2007;750.752735;3;23.175;25;27.6;27.6;25.8
13/09/2007;754.834044;4;23;29.5;27.2;27.4;25.9
14/09/2007;743.007866;5;22.275;31.4;24;27.2;25.8
15/09/2007;637.578683;6;22.475;29.4;27;27.5;25.1
16/09/2007;572.41407;7;22.95;31.2;28.5;26.9;25.2
17/09/2007;733.599008;1;22.65;26.4;26.2;27.4;25.9
18/09/2007;748.699295;2;22.225;27.4;25.6;27.3;25.9
19/09/2007;738.750703;3;21.725;29.6;26.4;23.3;25.4
20/09/2007;746.78646;4;21.45;31.6;27.3;27.2;25.6
21/09/2007;738.619861;5;22.3;28;23.5;24.6;25.2
22/09/2007;632.625711;6;21.875;29.4;26;23.1;25.8
23/09/2007;561.817424;7;22.675;31.4;25.5;25.8;25.6
24/09/2007;705.558564;1;21.5;32.8;27;28;25.2
25/09/2007;739.005637;2;20.85;30.2;26.7;26.6;24.9
26/09/2007;727.356476;3;18.725;29;20.8;27.2;24.8
27/09/2007;717.359798;4;16.125;28.6;17.7;23.4;25.2
28/09/2007;711.19879;5;14.925;29.4;20.6;23.1;24.3
29/09/2007;625.981407;6;18.675;24.2;19.8;26.5;24.3
30/09/2007;561.836352;7;19.55;23.2;22.2;28.3;24.6
01/10/2007;714.486891;1;20.55;22;19.3;26.6;24.8
02/10/2007;735.624052;2;20.45;21.6;22.5;26.6;24.9
03/10/2007;738.827622;3;20.25;23;17.4;26.3;24.7
04/10/2007;732.442376;4;19.8;24.8;18.9;21.3;24.4
05/10/2007;721.259002;5;19.325;25.6;20.6;28.6;24.9
06/10/2007;627.139671;6;19.175;26.4;22.6;30.6;24.5
07/10/2007;560.679854;7;19.575;26.4;22.2;28.2;25.5
08/10/2007;699.746667;1;20.55;27.5;23.7;26.8;26.9
09/10/2007;705.794628;2;18.7;28;22.2;25.2;26.2
10/10/2007;723.767832;3;17.65;28;21.4;24.5;26.4
11/10/2007;708.33366;4;15.75;23.8;18.6;19.6;26
12/10/2007;577.616258;5;17.55;24.8;20.6;21.6;25.2
13/10/2007;579.51243;6;16.275;25.4;20;24.1;25.6
14/10/2007;543.077556;7;16.5;25.8;21;23.6;25.7
15/10/2007;694.664848;1;16.225;26;20;22.8;25.6
16/10/2007;717.359589;2;17.5;26.8;20;21.7;25
17/10/2007;720.221067;3;17.675;26.6;21.6;20.6;24.3
18/10/2007;719.167296;4;18.025;27;21.4;20.2;26.3
19/10/2007;715.822603;5;16.2;26.1;20.2;23.6;26
20/10/2007;623.100316;6;16.275;27;22.4;23.3;25.5
21/10/2007;554.566631;7;14.275;26.8;17.8;22.2;24.8
22/10/2007;697.994897;1;14.125;26.8;20;25.8;29.2
23/10/2007;725.781003;2;16.125;24.1;16.6;22;30.2
24/10/2007;731.657502;3;14.7;18.6;14.2;21.6;27.3
25/10/2007;732.958037;4;13.625;20.2;15.8;20.6;27.4
26/10/2007;729.16692;5;12.025;20.6;13.8;18.9;25.4
27/10/2007;645.809377;6;12.575;21.3;15;18.6;24.6
28/10/2007;606.47699;7;14.65;22.8;17.6;21;24
29/10/2007;727.324303;1;14.625;24.4;19;21.3;24.7
30/10/2007;744.124767;2;14.2;21.6;15.2;22.2;24.9
31/10/2007;739.861641;3;13.325;20.5;15.7;20.8;25.6
01/11/2007;616.993614;4;13.35;21.6;16.2;20.9;24.2
02/11/2007;669.244664;5;12.775;24.2;18.8;20.5;23.5
03/11/2007;636.819034;6;12.6;22.8;16.5;21;23.6
04/11/2007;588.650305;7;12.775;23;17.8;20.2;23.1
05/11/2007;734.355241;1;13.1;25.8;18.4;20.6;23.3
06/11/2007;758.015164;2;13.5;25;18.5;21;23.6
07/11/2007;757.849453;3;12.4;24.6;16.5;21.1;24.5
08/11/2007;759.739061;4;11.725;23.8;16.7;23.4;24.1
09/11/2007;754.042765;5;11.7;22.8;15;17.8;27.1
10/11/2007;671.053713;6;11.425;22.4;15.6;20;25.7
11/11/2007;608.455011;7;10.475;20.4;16.5;21.6;25.8
12/11/2007;758.971735;1;11.525;21.9;18.3;20;25.1
13/11/2007;780.84977;2;13.45;21;16.5;18.9;25.4
14/11/2007;787.22251;3;9.4;21.4;15.2;22.6;23.9
15/11/2007;799.040648;4;10.55;19.1;13.4;19.5;24.1
16/11/2007;810.433735;5;6.225;16;11;16;23.3
17/11/2007;726.373368;6;4.875;16;10;15.6;23.1
18/11/2007;662.923995;7;5.525;18.4;10.6;21.4;23.5
19/11/2007;810.825155;1;5.275;18;6.6;18;27
20/11/2007;826.956283;2;11.45;17.8;12;16.4;29.1
21/11/2007;806.199287;3;12.95;16.2;10.2;22.1;27.4
22/11/2007;808.855467;4;10.475;16;11;15;22.3
23/11/2007;806.426729;5;10.375;14.2;10.5;16.8;22.9
24/11/2007;726.639631;6;8.85;15;9.7;17.5;22
25/11/2007;665.094376;7;8.35;15.7;11.5;18.2;21.1
26/11/2007;811.021848;1;9.925;17.6;14.9;18;21.9
27/11/2007;827.626644;2;9.45;16.8;13.8;18.5;22
28/11/2007;833.366113;3;8.275;16.5;10.8;17.6;23.1
29/11/2007;835.559183;4;7.45;15;9.6;17.4;21.3
30/11/2007;827.693297;5;7.825;15.5;11;17.5;21.4
01/12/2007;738.621885;6;7.825;12;9.7;21.4;21.6
02/12/2007;673.716248;7;9.55;11.4;11.4;19.2;21.6
03/12/2007;809.489658;1;11.2;17.8;13.8;22.3;22
04/12/2007;815.234455;2;10.875;11.8;14.1;22.8;21.7
05/12/2007;813.409858;3;10.05;8.6;12.2;21.6;21.9
06/12/2007;694.398482;4;10.025;9;13;20.3;22.1
07/12/2007;740.264804;5;8.25;14.4;8.1;22.7;21.6
08/12/2007;677.963836;6;8.825;14.5;6.9;22;22.2
09/12/2007;648.982482;7;12.425;18;14.8;23.7;21.6
10/12/2007;803.366603;1;10.75;15.4;11.3;19.8;21
11/12/2007;835.777901;2;8.775;15;10.4;18.5;21.3
12/12/2007;855.521276;3;6.375;13.5;10.5;15.4;24.1
13/12/2007;864.638098;4;6;15.9;9.8;15.3;23.4
14/12/2007;870.463104;5;4.375;14.6;7.8;15.6;22.3
15/12/2007;776.64738;6;3.525;12.6;8.2;15;22
16/12/2007;727.29501;7;4.625;12;6.7;12.6;21.7
17/12/2007;890.73351;1;2.825;13;6.2;12;21.8
18/12/2007;906.381252;2;5.325;13;6.3;12;22.7
19/12/2007;889.726009;3;8.525;11.8;8.5;14.4;19.5
20/12/2007;872.672872;4;7.75;12.5;7.3;15.5;21.8
21/12/2007;826.526197;5;9.925;16;9.6;16.7;21.7
22/12/2007;729.743701;6;9.7;16;9.5;14.1;21.6
23/12/2007;668.238527;7;11.075;17;11.3;14.4;20.7
24/12/2007;659.892091;1;8.525;16.2;10.2;16;20.9
25/12/2007;581.183638;2;6.8;12.5;9;18.8;20.7
26/12/2007;702.247525;3;8.65;15;11.4;15.1;20.4
27/12/2007;750.398389;4;7.325;14.2;10;15.9;20.5
28/12/2007;756.097256;5;6.175;15.1;9.4;15.2;20.1
29/12/2007;714.863632;6;5.5;11;8.6;15.6;20.8
30/12/2007;663.344069;7;7.025;12;10.5;18.4;20.4
31/12/2007;680.564746;1;5.5;5.5;9.6;15.4;19.6
01/01/2008;610.996145;2;6.25;11.4;6;17.8;20
02/01/2008;802.988912;3;6.05;15.4;7;12;20.3
03/01/2008;840.541091;4;7.175;12.6;7.8;16.1;22
04/01/2008;820.588733;5;8.3;13;8.6;17.8;21.3
05/01/2008;733.258258;6;9.5;14.5;10.6;18.7;20.8
06/01/2008;643.381083;7;11.25;15.6;12.6;23.4;20.6
07/01/2008;738.491575;1;11.925;17.2;10.8;21.6;20.4
08/01/2008;830.854825;2;8.45;17;11.2;15.6;20.2
09/01/2008;833.573802;3;10.9;15;10.1;16.8;20.5
10/01/2008;827.78774;4;12.2;15.8;10.8;17.3;20.9
11/01/2008;831.095495;5;10.65;14;9.3;20;20.7
12/01/2008;740.621022;6;8.55;13.6;9.3;17.8;19.8
13/01/2008;690.346839;7;6.175;13;7.9;17.7;20.1
14/01/2008;838.850399;1;8.25;14.2;9.8;16.2;20.9
15/01/2008;859.448083;2;6.875;12.9;8.6;16.8;20.1
16/01/2008;849.132256;3;11.85;15.6;12;19.8;20.1
17/01/2008;838.950928;4;9.25;14.5;11.7;19.2;20.8
18/01/2008;820.418215;5;11.35;12;11.2;23.7;20.2
19/01/2008;720.553491;6;11.6;18.6;15.2;20;22.3
20/01/2008;655.631169;7;11.05;19.4;15;17.5;22.3
21/01/2008;805.352893;1;9.4;20;14.8;14.4;21
22/01/2008;819.281517;2;10.325;19;15.5;25.3;20.7
23/01/2008;816.425493;3;10.35;19;14.6;19.8;22
24/01/2008;825.404614;4;9.85;17.2;12.8;17.9;22.8
25/01/2008;820.436154;5;9.6;15.8;10.8;17.6;23.6
26/01/2008;729.94205;6;8.5;16.4;12.3;16.5;21.1
27/01/2008;665.500916;7;9.225;16.9;13.6;17.5;21.2
28/01/2008;810.38804;1;10.675;17.9;15.7;21.4;21.5
29/01/2008;830.442542;2;8.775;18;14.5;17.5;21.3
30/01/2008;842.928173;3;8.225;16.8;13.5;18;21.5
31/01/2008;843.244194;4;8.675;16.4;10.5;15.6;20.4
01/02/2008;846.22281;5;5.975;12.6;8.2;20.7;20.4
02/02/2008;746.706256;6;7.775;14;10;17.7;20.3
03/02/2008;685.422225;7;7.7;16;9.2;15.8;20.8
04/02/2008;811.786483;1;11.15;15.2;10.8;19.4;21.6
05/02/2008;821.309291;2;7.7;16;10.4;20.9;20.2
06/02/2008;820.216029;3;10.025;18.4;14.2;20;22.8
07/02/2008;815.581729;4;10.375;20;15.1;19;23.2
08/02/2008;806.226595;5;9.85;19.6;16.2;16.4;22.4
09/02/2008;714.544244;6;9.075;18.6;14.3;17;21.6
10/02/2008;652.193395;7;8.025;18.5;13.3;16.1;21.7
11/02/2008;806.059376;1;7.8;17.6;13;15;20.4
12/02/2008;827.637602;2;7.025;16.6;10.5;14.9;20.7
13/02/2008;837.870902;3;7.175;16.2;9.9;13.6;22.5
14/02/2008;835.658089;4;9.175;17.6;9.6;14.2;21.7
15/02/2008;817.489798;5;10.2;19;12;14.6;21.6
16/02/2008;721.670898;6;9.15;19.2;14.4;15.8;26.8
17/02/2008;669.54074;7;8.6;12.4;10.5;14.5;25
18/02/2008;818.392789;1;8.675;17;9;13.5;21.4
19/02/2008;828.638786;2;10.95;17.8;11.3;13.4;21.4
20/02/2008;810.69529;3;10.75;18;14.2;17.6;20
21/02/2008;795.508199;4;12.25;19.2;15.2;17;19.7
22/02/2008;784.899597;5;12.9;18.8;16.4;19.6;21.3
23/02/2008;694.432318;6;11.3;16;15.6;18.6;22.4
24/02/2008;644.277633;7;9.675;18.8;12;13.5;21.6
25/02/2008;772.279365;1;12.375;19.6;13.6;19.2;21.6
26/02/2008;780.989438;2;11.85;21.6;16.4;20;22.4
27/02/2008;776.841679;3;12.025;20;18.2;22.6;21.9
28/02/2008;764.979816;4;13;19.8;16.1;16;21.1
29/02/2008;758.119412;5;13.45;20.4;17.6;20.2;21.6
01/03/2008;673.566768;6;13.55;22.2;18.2;25.6;20.9
02/03/2008;606.74881;7;13.5;23.4;19.7;21.6;20.9
03/03/2008;749.823835;1;12.9;23.5;20.6;19.5;20.8
04/03/2008;787.71184;2;10.65;18.4;11.6;18.7;21.4
05/03/2008;812.343783;3;7.075;14.8;10.6;14.1;24
06/03/2008;826.78766;4;7.325;16.4;13.4;14.8;24.4
07/03/2008;819.951089;5;9.05;22;17.7;16.6;21.9
08/03/2008;714.326166;6;9.75;18.8;16;18.9;21.4
09/03/2008;639.786175;7;10.225;17.6;15.4;23.4;21.2
10/03/2008;812.68395;1;9.65;16.6;10.9;18.2;21.5
11/03/2008;793.169424;2;14.95;20.8;19.2;26;21.3
12/03/2008;776.732184;3;13.95;21.6;19.5;25.6;20.2
13/03/2008;769.697227;4;12.875;25;20.4;22.2;22
14/03/2008;758.975795;5;12.875;25.8;22;18.2;22.8
15/03/2008;676.979832;6;13.525;20.2;18.2;25.3;21.7
16/03/2008;606.364693;7;12.6;19.6;18;25.5;23.6
17/03/2008;717.394696;1;12.4;19.5;17.9;20.1;22.5
18/03/2008;732.727068;2;11.525;18.4;14.2;23.4;21.6
19/03/2008;691.937581;3;9.775;14.4;16.2;19.6;22.9
20/03/2008;640.509578;4;8.825;18;14.2;13.1;21.9
21/03/2008;591.752636;5;10.225;20;18;23.3;22.5
22/03/2008;632.484649;6;12.975;17.6;14.2;21.3;21.7
23/03/2008;609.635236;7;7.15;15.1;9.1;16.1;18.2
24/03/2008;686.014803;1;10.675;18.6;14;22.6;18.5
25/03/2008;768.491952;2;11.975;19.2;18.2;25.2;20.6
26/03/2008;794.450684;3;11.9;18;12.9;21.5;21.1
27/03/2008;803.246448;4;12.375;20.2;14;22.3;21.8
28/03/2008;772.445928;5;12.75;20.9;18.9;25.7;21.2
29/03/2008;680.673281;6;14.1;24.4;21.5;18.6;22.9
30/03/2008;589.469385;7;13.55;18.5;15;23.5;22
31/03/2008;743.447516;1;11.725;19.8;16.2;21.6;23.2
01/04/2008;772.119536;2;13.225;24.2;19;21.5;22
02/04/2008;764.32685;3;14.65;26;23;23.9;26.7
03/04/2008;749.791089;4;16.075;29.4;25.9;22;29.8
04/04/2008;743.2273;5;14.175;30.5;25.6;18.8;25.3
05/04/2008;651.53351;6;14.175;27.4;23;20.2;22.6
06/04/2008;589.956063;7;14.775;27.6;25;25;23.9
07/04/2008;743.517872;1;13.775;20.4;18.4;15.5;27.5
08/04/2008;767.54148;2;13.35;16.8;14.8;24.3;26.6
09/04/2008;765.607785;3;15.575;21.5;17.5;24.2;28.8
10/04/2008;759.673854;4;15.85;17.5;15.8;26.6;22.2
11/04/2008;759.351371;5;12.775;18;11.5;19.6;21.2
12/04/2008;659.197968;6;10.65;19;15.2;19;21.5
13/04/2008;599.6758;7;11.375;19;15.6;23.6;20.1
14/04/2008;735.092844;1;11.85;20.6;17.1;20.1;23.3
15/04/2008;752.915857;2;12.075;24.6;18.8;18.4;23.2
16/04/2008;749.841573;3;13.875;24.5;21;17.5;23.8
17/04/2008;759.820506;4;13.275;18.6;13.7;22.6;23.5
18/04/2008;758.503426;5;12.5;17.4;14.2;22.5;23.5
19/04/2008;671.021617;6;12.6;17.6;12.6;20.7;22.6
20/04/2008;607.960618;7;13.125;15.2;14;20.8;22.6
21/04/2008;745.205656;1;14.225;19.5;16.5;24;21.7
22/04/2008;751.498834;2;14.5;20.4;19;25.6;21.8
23/04/2008;725.276116;3;14.925;24.2;21;25.8;22.6
24/04/2008;731.647188;4;16.125;28;23.8;27.2;23.7
25/04/2008;727.367921;5;17.425;31.4;26;23.4;33.7
26/04/2008;637.778459;6;17.775;30.8;27.2;23.9;31.4
27/04/2008;570.389832;7;17.75;30;26.8;20.6;33
28/04/2008;708.808527;1;17.225;22.5;20.5;21.8;30.7
29/04/2008;721.872903;2;13.9;20.6;20.1;20.3;28.8
30/04/2008;717.195942;3;15.925;21.4;18;24.5;22.2
01/05/2008;558.707661;4;14.5;23.2;21;20.5;21.2
02/05/2008;606.102611;5;16.225;28.6;24.2;21.5;22.6
03/05/2008;604.751521;6;18.075;29.4;26.2;23.2;26.6
04/05/2008;563.614794;7;18.525;28;25.7;24;23.5
05/05/2008;708.498019;1;19.625;28.5;26.8;24.8;24
06/05/2008;735.783436;2;19.875;30.8;27.2;22.2;24.5
07/05/2008;736.299346;3;18.725;29.4;23.7;21.5;24.7
08/05/2008;733.749248;4;15.85;25.4;15.7;18;24.3
09/05/2008;726.00611;5;15.075;21.5;17.8;19;23
10/05/2008;634.153668;6;13.05;20;12.2;19.6;22.6
11/05/2008;564.444716;7;15.675;22.6;19.7;17.4;22.8
12/05/2008;683.604664;1;15.725;24;20;22.2;22.6
13/05/2008;717.985678;2;16.225;22.4;19.5;22.2;24.1
14/05/2008;726.067165;3;16.275;20.8;17.6;21.6;23.5
15/05/2008;705.443183;4;17.45;21.5;18.5;23.8;23.3
16/05/2008;716.316181;5;17.425;21.8;19.2;23.8;24.5
17/05/2008;622.948249;6;16.575;24.8;19.4;21.5;24.3
18/05/2008;564.647159;7;16.025;20.6;19.5;21.5;23.1
19/05/2008;703.202162;1;14.875;23.5;18;20;23.8
20/05/2008;715.321294;2;16.85;23.6;22.2;26.6;24
21/05/2008;723.943971;3;17.075;23;21.2;29.3;23.8
22/05/2008;720.046068;4;18.1;24;22.8;28.1;23.8
23/05/2008;726.868217;5;17.1;18.4;17.8;24.4;25.7
24/05/2008;627.096698;6;16.875;19;16.8;26;25.3
25/05/2008;573.017333;7;15.125;18.6;14.3;18.6;26.7
26/05/2008;705.324115;1;15.975;20.3;17.5;22.5;25.1
27/05/2008;727.814079;2;15.575;18.6;19;20.2;24.9
28/05/2008;725.042281;3;15.35;21.6;17.3;22.6;24.1
29/05/2008;726.085744;4;17.35;23;18.6;28.2;23.5
30/05/2008;717.619855;5;17.7;22.4;19.4;27.2;24.8
31/05/2008;628.916107;6;17.475;23;19.7;21.8;24
01/06/2008;566.339265;7;16.425;24.4;20;25.7;23.7
02/06/2008;703.332258;1;18.125;24.5;21;23.6;24.1
03/06/2008;723.409371;2;18.325;27;22.9;23.7;25.7
04/06/2008;727.143753;3;18.775;29.2;25;24.4;24.5
05/06/2008;732.821971;4;19.325;27;22;24.4;24.1
06/06/2008;723.221115;5;17.975;29.4;23.8;23.2;24.7
07/06/2008;631.285031;6;18.05;31;24;22.4;25.5
08/06/2008;571.677368;7;17.1;28.4;18.6;20.5;25.3
09/06/2008;690.726017;1;16.8;24.6;16.5;18.3;24.7
10/06/2008;705.20412;2;17.8;28.4;19.9;22.1;24.2
11/06/2008;696.047035;3;18.1;30;21.4;23.4;24.4
12/06/2008;690.257158;4;20.275;31.4;25.2;27.1;24.2
13/06/2008;693.707569;5;19.8;34.4;26.3;26;23.9
14/06/2008;610.818483;6;20.525;34.2;28.7;24.5;24.9
15/06/2008;555.635944;7;20;29.6;25.5;25.4;25.7
16/06/2008;700.253843;1;20.45;23.6;23.4;31.4;28
17/06/2008;721.570076;2;20.25;29.4;23.7;26;26
18/06/2008;740.84153;3;20.85;33;28.8;25.8;24.3
19/06/2008;755.088911;4;22.675;34;31.2;28;24.2
20/06/2008;761.909663;5;23.725;36;32.7;27.5;23.7
21/06/2008;675.534677;6;25.45;37.4;34;30.4;23.8
22/06/2008;606.277535;7;26.2;36.6;34.5;30.1;25.6
23/06/2008;736.850699;1;25.25;32.8;29.5;27.5;26.4
24/06/2008;729.139208;2;24.425;32.8;28.2;28.8;25.5
25/06/2008;796.774299;3;25.05;37.6;32.4;28.2;24.3
26/06/2008;815.652488;4;26.925;37.6;34.4;30.3;24.8
27/06/2008;811.149661;5;26.2;39.6;33.5;28.8;27
28/06/2008;715.46953;6;25.85;39.8;34.2;30;28.1
29/06/2008;647.57243;7;27.125;38.4;35;29.7;28.3
30/06/2008;804.301381;1;27;38.6;34.6;29;27.3
01/07/2008;818.597595;2;26.3;36;34;31;28.7
02/07/2008;813.052477;3;24.4;29;28.6;29.8;28
03/07/2008;787.535124;4;23.325;29.2;27;30.2;26.5
04/07/2008;784.743995;5;22.625;34;31.4;28.7;25.6
05/07/2008;697.449416;6;25.2;32.6;32.5;29.6;26
06/07/2008;620.983923;7;25.55;29;29;29.8;26.9
07/07/2008;749.064749;1;22.675;30.1;27.6;27.8;26.1
08/07/2008;775.649872;2;22.675;33.4;31;28.1;25.7
09/07/2008;795.469535;3;25.025;35.9;33;28.6;26.2
10/07/2008;804.391123;4;25;35;33.2;29.3;26
11/07/2008;798.070479;5;24.925;31;31.5;31.5;26.5
12/07/2008;677.846702;6;23.525;29.8;26.4;29.1;27.2
13/07/2008;581.203718;7;21.075;33;27;26.5;25.7
14/07/2008;735.655152;1;22.525;35.6;29.4;26;25.5
15/07/2008;765.072063;2;24.05;36.4;31;27.3;25.9
16/07/2008;763.649138;3;23.575;34.8;29.3;25.8;27.8
17/07/2008;770.400219;4;25.075;36.8;30.8;27;28.5
18/07/2008;781.088144;5;26.05;39;34;28.6;27.3
19/07/2008;693.725648;6;27.275;38.6;37.2;29.2;25.5
20/07/2008;620.731144;7;27.075;35.2;34.6;29.6;26.3
21/07/2008;777.406551;1;27.025;38;35;28.2;25.9
22/07/2008;791.242173;2;25;39.4;34.3;28.3;27
23/07/2008;804.910958;3;26.4;36;37;29.2;25.9
24/07/2008;794.51959;4;26.45;32.2;31.6;29;25.9
25/07/2008;734.527273;5;24.85;30.6;31.5;29.6;25.5
26/07/2008;682.263506;6;26.4;33.8;31.5;30.2;25.6
27/07/2008;619.734873;7;25.975;34.3;34;30;26.3
28/07/2008;776.066962;1;26.15;32.4;31.5;30.2;27.2
29/07/2008;786.583156;2;25.9;33.6;33.6;29.9;26.3
30/07/2008;788.664402;3;25.8;34.6;33.6;30;26
31/07/2008;783.204917;4;25.7;32.7;34;31;27.1
01/08/2008;779.364008;5;26.25;33.4;32.3;30.1;28.3
02/08/2008;684.072254;6;26.95;38;34.8;30.1;27.2
03/08/2008;632.716714;7;28.2;39.5;36.6;30.9;26.4
04/08/2008;774.345579;1;28.55;40.4;38;31.5;25.3
05/08/2008;792.930161;2;29.1;39.2;37.4;31;25.1
06/08/2008;786.390866;3;28.15;36.4;36.6;31.2;27.5
07/08/2008;768.743116;4;27.275;32.6;32.8;30.6;28.1
08/08/2008;746.562122;5;26.1;34.8;32;29;27.2
09/08/2008;668.737715;6;25.6;38.5;33;30.5;25.8
10/08/2008;612.337891;7;27.125;37.4;35.5;29.7;25.3
11/08/2008;728.898889;1;27;32.2;32;34;26
12/08/2008;736.643568;2;26.65;30;29.2;38.5;27.2
13/08/2008;716.310311;3;24.375;32.6;29.6;29.1;26.9
14/08/2008;705.227172;4;23.375;31.7;27;29;25.8
15/08/2008;589.069822;5;22.725;33;26.4;31.2;25.8
16/08/2008;600.100293;6;22.475;30.4;29.2;29.2;30.1
17/08/2008;565.234331;7;23;31.6;29;29.3;27.1
18/08/2008;690.008773;1;24.325;34.4;32.2;29.4;26.3
19/08/2008;707.738845;2;24.425;32.6;31.6;29.2;26.7
20/08/2008;711.703112;3;24.525;33.2;31;29.2;25.8
21/08/2008;722.063923;4;24.975;34.5;33.3;29.6;30.2
22/08/2008;726.765028;5;26.3;33.5;31.8;29.4;30.3
23/08/2008;637.86459;6;23.7;35;30.8;25.8;26.9
24/08/2008;582.18475;7;24.775;35.7;32;29.7;25.9
25/08/2008;717.523479;1;24.45;35.5;35;30.2;28.6
26/08/2008;747.458663;2;25.725;36.7;32.8;29.4;26.3
27/08/2008;761.028063;3;26.125;36.5;32.1;29.4;26.3
28/08/2008;760.607319;4;25.675;36.7;33.3;29.2;26.1
29/08/2008;754.611234;5;26.3;33.6;33.5;29.5;25.5
30/08/2008;656.962853;6;24.725;29;28.6;29;26.6
31/08/2008;595.66393;7;23.9;31;28.7;30.2;27.5
