Denominación Social Empresa Comercializadora;Denominación de la Oferta;Tipo de tarifa;Importe primeras facturas en Euros;Importe siguientes facturas en Euros;Validez;Servicios Adicionales Incluidos;Penalización;Verde;URL de la Oferta
ENERGYA VM GESTION DE ENERGÍA, S.L;Fórmula Fija Única 24HORAS;1 Precio fijo Revisión anual;42.03;50.22;Oferta válida solo para nuevos clientes;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BEEC1194CF7D4E0208855D038977E075B935056324B82F7D055B8836F8C540CDB3F2CCCB724A6BE318B6F5BF72E7CA16D8122D52F150BD35AE4312B14FDBBD186E1C788206F4B0723E51A11CCA86C08E27A1EE78F3E737F3550D2A0B360EC47888B24A7A275477976C3678249DCB568A50DE858556DCE2F965F43D540E0C456967B955119A720D01938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGIA NUFRI SL;ENERGIA NUFRI - ECONOMICA TRES PRECIOS;3 Precios fijos Revisión anual;42.39;42.39;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BC7E131A6DB117614A9400CBF8DB27B57EF1756EE7FA1F265D5068911A805A4EAB84138CB3D2B8B5828A509BB144A4001D85E268E2B9FE316E5A784795C137C8657EDF6147E36B89BAE9CECCECFD8BD87B36FD9A797443A8F128FB7A8E4A353EA38E8F7C5F33BB623ADDEF731189577F7BD857AC49BC1A41EF43ED75DB51904C219F38BEC62C4A47938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IMAGINA ENERGIA;PLAN SIN HORAS DIGITAL;1 Precio fijo Revisión anual;42.48;42.48;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C025639915848CC5351C73B283E70FE620DED753EDCD5723585E214F3D0577B68A05F704BC1B12A51751233B319CE047FF204ADD561A5A5B9CBAF9BF804086AB926AC4012C766BE22D74B72D869F0F90546926824B8A4FD50C6CB59D92C3BEC0DD85B95656978056252C26BBCCAD787B8E010DB9D8F7C87DFA4337EF26C84EAE854CA1E6E7983271938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGIA NUFRI SL;ENERGIA NUFRI - ECONOMICA UN PRECIO;1 Precio fijo Revisión anual;43.15;43.15;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BC7EBD0A2A95FCEFCE781EACE29B64034B1853B561E50392A62AFD80576449115530976F8921CEC1DA66D84C39CEC978A0514DDCB44BC6A96036ED611B47F09DDC5A2837C9984E1AC7E50034031576516F60A20FA59270BA3BDA8A6B2318B16F9B0F0229501DA2FED660A0172F77615525BCC12E919A884D9AF829A6FFB5C237200EB85D9951CB71938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
CLEARVIEW ENERGY S.L.;CLARITY ENERGY - TARIFA OPTIMA FIJA - 1P (1024);1 Precio fijo Revisión anual;43.9;43.9;Válido para clientes domésticos, pequeños negocios y comunidades de propietarios.;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C130E7FF71D9EC1ED5377CC27D85FE5E820EC045DA92ED9A087695EC17D65427A499951A879AC813677ABE222315DCFDE55A72303E98EF2D5AC750ECB3557EB5AD9E6DAF5C3716399CE37C754E452BF8B1F70AF6BF0B420DA1F0BA57D3D13FD67CBA3F9596CF1BDEF3E83916EA66F3D6009325D0FC1F04DD46FDF94B7082E39D0ED288ED4BA2878F938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
HIDROELECTRICA DE SILLEDA COMERCIALIZADORA, S.L;Digital Integral 20TD;3 Precios fijos Revisión anual;44.03;44.03;Válida para nuevos clientes que cumplen ciertos requisitos (ver detalle de la oferta);Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C06B16ED8F66B4394DACB4F263BFCBCEDCD0023BEF25078D3A05376F3682658E21C80F0E398B1DB520C4CAA332463EB5A48F5D5E4AE5938DD027013744825639525BA3FC5FA75960807BFA75966E3B2C797D9A9163EACBECAF40564A9B74AED66134C24526877F91EDC69A0C134F811E3CB054295332EB47672FE81713E0C810E107FA0B81FA2CAB938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGIA NUFRI SL;ENERGIA NUFRI - SMITH 3 PRECIOS;3 Precios fijos Revisión anual;44.21;44.21;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BFE9A550AD0BD8AAD6E9F2A05651DC8C5B34B28D11390911BB85C533D4E38746E35F9945BE4D524E33C96F2B310BB3EA039C8425A8D9E0309539CEC68EE38B9FC953289792DEC4E39D2558EFC236A10A7DC55550C8EE77C0CA007509422C1589DA5D6889A45C1347793A0D0946FE035DD3B3F5EC94C518639CE60EA85B8EC2111219C410AC68C9AD938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGIA NUFRI SL;ENERGIA NUFRI - SMITH 1 PRECIO;1 Precio fijo Revisión anual;44.98;44.98;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BFEA4F4069F0BE395ACE1081401218DA275B90D38B23ED7E04605A2311C776098D0C1D28939C685A8BA5F6DBB995D9628667EF997A6BA8A8871643E0146A4475402E716E1493A774AA208A56D84E8B8371EEF9C5F50CA4D214B203F9D6FA91BAD1DDDB369545FAE414BCBDAD64EC0D337D985F6EDCA3866F489A4AD97FF2F3FC108943AF7F8E4AD7938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
TOTALENERGIES CLIENTES S.A.U.;A TU AIRE PLAN VEHÍCULO ELÉCTRICO + DIGITAL;3 Precios fijos Revisión anual;45.07;45.11;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BF6CD941F4F34401FB640174AD25936A6EA976CB88B9498C3B0065831D80305248AEBEB11839213DADD5C986EB982F69F6399B17C1CAA81AF753D0087FF3CEDC8049AB105208625E14AD113B88A670372F308F4462C55F0DEF9B7C5BFA88E19418093188B895FC45454054834C2ECA750FF67A3FCD6C47D18489DA91A1FA197E38380B6D9CDDEED5938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
TELECOR S.A. UNIPERSONAL;Despreocúpate +;1 Precio fijo Revisión anual;45.58;51.27;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BE07B76EFBE8D680CDFD36C96F26D7EB64FA56AF51153DFB1FA366BD267C6B39B42193FCD004CB4D0860A087F945702716B9C9B1556B5C08AE05B865E2D35E40B7729843BBE43D88CCC73E971A63AE060FACF105AB5AA8B6F67516C34097E2ABF41832166D053D2674991B9C65EE1F6E05F0BE74C3F9034AABC35B4B276931A381E5D7A5E00C7C91938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
TELECOR S.A. UNIPERSONAL;Benefíciate +;3 Precios fijos Revisión anual;45.95;51.63;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BE070D7F3F03F0F24A1918E885669B9D98D37868D72A598ED6C8D1CDE9987C770A751019FAB5B540B08418D770BB4AAE93EE5E3D83D99390BC29434C5D4CA56B40974F6D3A2F5AF7BFCC0D30044BC38D1B834C907F3C7BA5ABC387D2ABC9667AFC97BF697C1B5589D9166AF8480015985C0C54F27C1A953F000F1F1A0304FFB8837658070CE6FB67938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IMAGINA ENERGIA;PLAN NOCHE Y FINDES + PRECIO SIN SUBIDAS 3 AÑOS;3 Precios fijos Revisión cada tres años;46.01;46.01;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BC658374209BE9C83A9BAF4A30127076FD53553F49071B7FD5B8E1FD4D8ED82C259503C3DF6488ECCFAAB417F54D3995361F5AAB98A804DB797D8B97494880EE37CD586088BEAC92DA9BAAE6BB88A85D313238AB1917C029257F52B50C72422ADDFDFC7D8D6541BFC0FA67BABE21EB9DEDD517D7E69632921E373A5B98D659555B81C6CA41C09F35938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
NATURGY CLIENTES, S.A.U.;Por Uso Luz;1 Precio fijo Revisión anual;46.11;46.11;Válida sólo para consumidores domésticos;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C1125EEB80B8AC83223A1E587CFB2863D312CF9BF25DE224F12FD2EF26E16D2D2799E2583364D1DB9DDA5C699A43215664CD23609666E99FE52A4656B520485A523757240DB6602947C09BEF55F90A3CD27B7DE8D19F28F236090B1D16B6EF0A03A5A4824CC77DBB026C7B9989A12F717988306812273EC46C9B2876E681EB6356C99A635AE55203938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
NATURGY CLIENTES, S.A.U.;Noche Luz;3 Precios fijos Revisión anual;46.39;46.39;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C11308DB3D9D9211A61E3C3966BB64B19F39ADE26C48C6913A0A67DE63C55BEFD146663B08B3E7E7F5B6E41A22CD46CEE7988ED467F8B217D706BB703AA7012FC9129FFA8F6B42BA54BBCD566C10F4B5C6A5225DFDBD560380BA9A0DAB856B3AFB26172F3DB165579DEF2C3DA78F3947236C99EA5A05ACD0184F64A80AE61D4E55391A022E0AD32D938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGIA NUFRI SL;ENERGIA NUFRI - FUJI 3 PRECIOS;3 Precios fijos Revisión anual;46.74;46.74;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C00C2A030B8A799DA140044FD15E1C59D319D8DDD4EF6F1087EC05CC333006D15A6A6359125DCCD00C94FF06ED1B506494EE57AC3A76988DB60197F5AE4116FBEDDDF429EB9CCA5A402B61E03F12419C163ABD1DBF0F9F43F6117DE77C1D4F7C2074B3AA93DF1F170FC5EE5F5B5802C4561964632DF372C27D8248A3BFE8E5CCC0BFB05390070635938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENDESA ENERGÍA S.A.U.;ONE Luz: Promoción Navidad;1 Precio fijo Revisión anual;46.84;49.93;Válida para nuevos clientes que cumplen ciertos requisitos (ver detalle de la oferta);Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C1972237138C03DA2C71760F1B2A452B517076AB31E056BDDBF42DD6B8F3F541B660EB8ED92E0B8042245E544630677C93B915DC504B8754D965C2470660AF1F2D883EB96307617B6BFF347898A838BB9303F97349325E7490C0B7115807F54B5FFF3B9E8384701480867BD0EB98DE5E33FA9E3037ED37E2916A2EDB54C8EAFA1DE54E7850323AD3938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENDESA ENERGÍA S.A.U.;ONE Luz;1 Precio fijo Revisión anual;46.84;49.93;Oferta válida solo para nuevos clientes;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C1848BFE6A82E843BF7E31758A23ACA8FD3026F5DC2F5AE5E40BE3AC1005D7F727827EBF8487A226A605870557144E4E4579553164599A366548F37C6BA477C62D8C4743333E999E0085CD322E0A9380DE75FCA275E57090655514C111725FF04DF2B0B429EF1AF37E3B29DDA58FCAFF9EFF13F05B992E9BC9B3997B59D3754649B3591938181A3B938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;TARIFA PLAN AHORRO PLUS;1 Precio fijo Revisión anual;47.11;47.11;Válida sólo para consumidores no domésticos;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6B7CF39D3D6E5A3FAD749381AEEB1BADF44BD603ED0E2AB3C6749B8D18A81F905AC79A94FDFE52DA1ACC5113872B04BD56675D7587045C0052D185E3B995545DBE683061A3DCD104026D3498F10456A8DFD70CAFD3C9253AC008A9640C59A13CC97658F70CD13C89126E3C9A7EC3FF62AF2780295468FC3EC9DC34AC72079687D2B08E649339713FB938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;TARIFA AHORRO PLUS;1 Precio fijo Revisión anual;47.11;47.11;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6B7BEA16A648B390FF6024D241AEBD74654F1AB5CE8F25CA949F12D74983FA8031AA0C8290B2C066D183BD0FB1D32A310A0985908F9092C4E8E90EEBD8F2D39034B18E9279322F015E24B767DE7EF84BE255FBB8BED9FECFBB533A0C23D6FF3046BDA5C8D463C2A45F72089A10001004D5B29B4DC41D704C8D92969FA92B0888A52256FC694ED76E1938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IBERDROLA CLIENTES, S.A.U.;2.0TD Plan Online (0-10kW);1 Precio fijo Revisión anual;47.38;47.38;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6B85B4A6C878ED8718C4DD87B98236EFE88C694554D7CF07C73727A00BA5FC37785AA5D45B01459CE1788E7B8FC8D2E29341F67CE2B6DFAE185CCE244A75F9DCCDD400EE725E3CDCDD9DD018645FBAC3F3BC35790997178EC90E3668B6BCA7028964413FB5DDDAEA5539B60EC97721145F9BAF8F682E4778B2350E7481F0E8D2CE0EF16313B808999938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
TOTALENERGIES CLIENTES S.A.U.;A TU AIRE SIEMPRE;1 Precio fijo Revisión anual;47.38;47.4;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BF4A548F9674A30F310DEFC53219539CF6C4507AC502E38D6E9A24EABF33B0C7D1A3F49DC428A6BBD50A39AB2F8892EF64E7C791302DEFBDD68C06D9609643805BBEDF7DF94A5CE771A7084B0BCACFA596BB27776CA4378AC38A737DC097A7A1D1F1E667C912F075AEB4732D37D4CB0E8D910BC9343DED72A3EDA0963D9FF5C289921F2AB93FB24D938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGIA NUFRI SL;ENERGIA NUFRI - FUJI 1 PRECIO;1 Precio fijo Revisión anual;47.56;47.56;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C00B80134EA5940F1D5BE66EE79DE00C06F2FA975B048AA43F1170DCF64C180EB0BDDF763D0EB6C3B4B8775664912AEC1222EC3868E4D015C42522DC28BA5E267702AB5369E7E7C93330307928FA5723221118A892F17232AB5FEEF6E74ED34B28F440FDA2F5377A74433DBB3D69F8EEAC34FAE0E61504B6D1CE0C729B84B3E1C25030B4BCE1850B938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
